posternr.,Openness,posternr.,Autonomy,posternr.,Sustainability,posternr.,Interoperability
,Subprinciples,,Subprinciples,,subprinciples,,Subprinciples
SPII,Transparant processes,1,build or buy richtlijnen,1,total cost of ownership and maintenance berekenen ,1,semantic interoperability
1,,1,balance build -buy desisions between cost/risk-reduction and agency,2,financial sustainable governance,1,lab notebooks need to talk to each other
2,"enabling 'as open as possible, as restricted as necessary'",2,reuse what DAU (UNL) is developing,2,human capacity policies,1,ontologies
6,transparant governance,3,Flexibility - scalability and growth potential,3,"involvement diverse voices (roles, perspectives)",1,
7,strategic transparancy,3,community maintenance is underrated,6,"retaining capacity, information and knowledge",2,reuse/borrow assessment tools; tools; frameworks from interoperable Europe
7,operational transparancy,3,non-prescriptive,8,doelstelling duidelijk: analyses voor beleid; vindbaarheid,3,standards-bassed
7,economic transparancy,5,collaborative approach,,,3.6,user driven design
7,open as early as possible,6,community-owned,,,1,integrate systems & processes on syntactic and semantic level
7,research data ,6,digital sovereignty,,,6,organisational interoperability
7,research software,7,Flexibility,,,7,social and technical interoperability
8,exit strategy needed,8,secure by design,,,8,portal = poortwachter - storage - indexering - dissementatie
8,"infrastructure for sustainable publishing (PRC, Diamond, Green)",8,aangepast tijdpad diverse disciplines mbt autonomie en inclusiviteit,,,,
,,,,,,,
,Consequences/ enablers,,Consequences/ enablers,,Consequences/enablers,,Consequences/enablers
SPII,Develop all software as open source,1,contractvoorwaarden en exitstrategie goed vastleggen,1,risk assessments (using a commericial system might costs more than developing in-house (but you can stop paying but not sack staff,2,map organisations (part of shared terminology)
1,describe the process of the research journey (interacting with the systems in and outisde your uni),1,Use AI to map / match existing process,2,knowlegde management,2,PIDS
2,release data on Creative Commons,3,Guidllines for experimentation beyond central infrastructures (i.e. permissive to innovation),2,communication ,2,Guidelines and best practices support reproducibility and deliver trust as outcome
2,Metadata always open,3,examine points of failure,2,training,3,room for dialogue
3,open code and data papers,3,support for public stack,2,recognition and rewards,3,national level architecture (HORA)
3,"licensing (attribution; share alike, …)",3,reproducibility,3,open and transparant governance model,3,organic growth building in good practices
3,co-created end-user led design - collective value and commons logic,3,re-usable and appliable to new domains,3,sustained maintenace and ongoing development needs funding,3,centralised én community
3,develop a public stack,5,community endorsed practices and standards,3,core compentences valued,3,vocabulary development
3,Usage also gives impulses,6,preference for domestic / EU tools,3,recognition and rewards,6,controlled vocabularies
6,Open data,6,regulated access conditions,4,reciprocal trust,1,"provide generic ontology infrastructure (registries, triple stores, visualisation tools, etc.)"
6,open APIs,8,commitment,6,sustainable funding (or funds for sustainability),,
6,Open repositories,8,structurele financiering,6,alternative funds,,
6,Open software development versus developing open software,8,flexibel en gaat met de tijd mee,7,modular architecture/systems,,
7,public infrastructures,8,diversiteit in metadata,7,adopt value-driven procurement,,
8,"transparant reporting, transparant monitoring, transparant responsibilties",,,8,"oog voor diviersiteit in publicaties, producten en NTO activiteiten",,
8,vaardigheden en training,,,8,"Geen onderscheid uni's, hbo', KNAW, NWO-I enz.",,
