group,group_note,subprinciple,subprinciple_note,level_1_name,level_1_description,level_2_name,level_2_description,level_3_name,level_3_description,level_4_name,level_4_description
Open,The most crucial principle for Open Science infrastructures.,Results openly available,"Results refers to any output created by the infrastructure itself (the software running the infrastructure) or stored in it (e.g. datasets, content).",Results not available,...,Metadata about results available,...,Results openly available,...,FAIR results,All results are adhering fully to the FAIR principles.
Open,The most crucial principle for Open Science infrastructures.,Transparent processes,Explanatory text,Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
Open,The most crucial principle for Open Science infrastructures.,Innovative,Explanatory text,At a stand still,...,Ad-hoc improvements,...,Maturity level 3,...,Continously innovating,...
Autonomy,Who is calling the shots.,Community governed,Explanatory text,Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
Autonomy,Who is calling the shots.,Clear responsibilities,Explanatory text,Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
Autonomy,Who is calling the shots.,Vendor independent,"Check for example the Digital Autonomy Assessment Framework (https://utrechtuniversity.github.io/digital-autonomy-assessment-tool/)",Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
Sustainable,Keeping the lights on.,Financially secure,Explanatory text,Unfunded,There is no funding at the moment and for the forseeable future.,Time-limited funding,"There is time-limited funding, e.g. through a one-off grant or donation.",Recurrent commitment,"There is for a number of years funding, e.g. through memberships and recurrent grants.",Structually funded,
Sustainable,Keeping the lights on.,Human capacity available,Explanatory text,Zombie infrastructure,No one is working on this infrastructure for a forseeable time.,One-person show,"One hero is keeping the lights on, but there is no backup.",Somewhat staffed,...,Dedicated resourcing,...
Sustainable,Keeping the lights on.,Legal and policy compliant,Explanatory text,Unknown,...,Major gaps,...,Bases covered,...,Audited or certified,...
Sustainable,Keeping the lights on.,Resilient,Explanatory text,Falls over at the first breeze,...,Major gaps,...,Bases covered,...,Can weather a hurricane,...
Usable,Providing a good user experience and letting researchers achieve their goals.,Interconnected,Explanatory text,Isolated system,"This infrastructure has non integrations with others, and makes it difficult to even exchange data.",Uses other systems,Ingest e.g. data from other systems.,Two-way connected,...,Part of flourishing ecosystem,...
Usable,Providing a good user experience and letting researchers achieve their goals.,Seamless user-experience,Explanatory text,Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
Usable,Providing a good user experience and letting researchers achieve their goals.,Accessible to all,Explanatory text,Maturity level 1,...,Maturity level 2,...,Maturity level 3,...,Maturity level 4,...
